101-2H-39-M-S,Arabayla istemediğim yere gitmek,Go where I do not want by car,Male,
214-6A-398-M-S,Arkadaşıma araba çarpması,My friend got hit by a car,Male,
101-1D-672-M-H,Balondan mutlu olurum. İnsanlardan mutlu olurum. Ailemden mutlu olurum. Arkadaşlarımdan mutlu olurum,I would be happy with the balloon. I am happy with people. I am happy with my family. I am happy with my friends,Male,
102-3F-308-M-S,Ben üzüldüğümde ağlarım gözyaşı dökerim,"When I'm sad, I cry and shed tears",Male,
105-1C-1039-M-S,İnsanların kaza geçirerek ölmesi beni üzer,It saddens me that people die in accidents,Male,
230-5G-263-M-H,Benim için mutluluk denizdir,For me happiness is the sea,Male,
213-7A-648-M-S,Beni üzen tek şey ailemle kavga etmem üzer,The only thing that upsets me is that I fight with my family,Male,
101-2H-410-M-S,Beni parka gitmemek üzer,Not going to the playground makes me sad,Male,
250-8Q-1269-M-S,yağmur yağdı parka gidemediğim için üzgünüm,It rained I am sorry I could not go to the playground,Male,
205-7H-1069-M-H,Doğa bize mutluluk verir,Nature gives us happiness,Male,
205-8E-546-M-H,Doğa ile iç içe olmaktan keyif duyarım,I enjoy being in touch with nature,Male,
230-5B-1582-M-H,Benim için dondurma yediğimde mutlu hissediyorum,I feel happy when I eat ice cream for me,Male,
110-3Z-1358-M-H,Mutluluk benim için ailemle tatile gitmektir,Happiness for me is going on vacation with my family,Male,
205-8F-858-M-S,Orman yangının çıkması beni çok üzüyor,Forest fire makes me very sad,Male,
108-4C-150-M-S,İnsanları üzgün görmek benim için en büyük üzüntüdür,Seeing people sad is my biggest sadness,Male,
101-2Z-197-M-H,Ailemle lavanta bahçesindeyiz,We are in the lavender garden with my family,Male,
250-8A-222-M-S,Yağmurda kalan üzgün bir adamın zorlanması gün,Strain day of a sad man left in the rain,Male,
205-7H-964-M-S,İsotun olmaması beni üzer,I am sad if there is no isot,Male,
230-5B-298-M-H,Mutluluk aile günüdür,Happiness is family day,Male,
250-5E-597-M-S,Üzüntü çok kötü bir şey ve bizim okulda arkadaşlarımız kavga ettiler ve arkadaşım ağladı diğer arkadaşım ceza yedi ve sona erdi Barıştılar ve artık oynamaya başladılar sona erdi,Sadness is a very bad thing and our friends at our school had a fight and my friend cried and my other friend was punished and It is over They made up and they started playing now It is over,Male,
101-3F-459-M-H,Ben ders çalışmayı çok seviyorum ve mutlu oluyorum,I love studying and I am getting happy,Male,
103-3H-1047-M-S,Kaplan kafesten kaçmış koşmuş koşmuş bizim evimizin yanına gelmiş arabayı görünce kaçmaya çalışmış ama diğer taraftan arabaya gelmiş çok korkmuş ve araba çarpmış ayağını sakatlanmış,"The tiger escaped from the cage and ran, he came to our house and tried to escape when he saw the car, but he came to the car from the other side, he was very scared and got hit by the car and injured his foot.",Male,
101-2E-47-M-H,Kuzenlerim bana top hediye ettiği için çok mutlu oldum,I was so happy that my cousins gifted me ball,Male,
214-5F-265-M-S,Yazılı notum düşük gelirse çok üzülürüm,I will be very upset if my written grade is low.,Male,
280-7C-1027-M-S,Ağaçları kesmemeliyiz doğamızı korumalıyız,"We should not cut down trees, we should protect our nature",Male,
110-4H-911-M-S,Hayır bacağım acıyor,No my leg hurts,Male,
280-8D-1044-M-S,Üzüntü ile ilgili slogan. Ağaçlar yok olursa biz nefes alamayız,"A slogan about sadness. If the trees disappear, we can't breathe.",Male,
101-1C-91-M-S,Babam öldüğünde annem öldüğünde ablam öldüğünde,When my father died When my mother died When my sister died,Male,
104-2B-1431-M-S,Ben okulumu çok seviyorum,I love my school so much,Male,
207-7F-620-M-S,Üzüntü benim için orman yangınıdır,Sadness is forest fire to me,Male,
112-3E-892-M-H,Ormanda gezmeyi çok seviyorum kuş sesleri de çok seviyorum ormanda uzanıp kuş seslerini dinlesem,"I love walking in the forest and I love bird sounds too, if I lie in the forest and listen to the birdsong",Male,
101-1A-1543-M-H,"Annemden, abimden mutlu oluyorum",I am happy with my mother and brother,Male,
105-1E-873-M-H,Arkadaşları ve doğayı sevmek mutluluktur,Loving friends and nature is happiness,Male,
205-8G-609-M-S,Kendimi çok yorgun hissediyorum kendimi çok üzgün hissediyorum hiç güzel bir gün geçirmedim,I feel so tired I feel so sad I did not have a good day ever.,Male,
214-6E-1626-M-S,Saçı gür olan saçı kısa olanla dalga geçemez,The one with the bushy hair cannot make fun of the one with the short hair.,Male,
250-7C-1801-M-S,Bilgisayarıma virüs girmesi beni çok ama çok üzüyor,"It makes me very, very sad to get a virus on my computer.",Male,
214-5G-1708-M-S,İkinci yarıda onlar attı ama biz yine çeviririz,In the second half they scored but we will turn it again,Male,
214-6I-158-M-S,Sakın ağlayıp üzülmeyin sadece kendinize inanın,Do not cry and be sad just believe in yourself,Male,
102-2B-178-M-H,Benim için mutluluk asker olmak,Happiness for me is being a soldier,Male,
214-6C-118-M-H,Küçükken hiç sinemaya gitmedim diye sinemayı özlüyorum,I miss the cinema because I never went to the cinema when I was little.,Male,
102-3E-576-M-S,Anasınıfında ben ve arkadaşlarım çok ağlardık ve ben arkadaşımı çok özledim ben de canım arkadaşımı çizdim,Me and my friends used to cry a lot in kindergarten and I missed my friend so much I drew my dear friend too,Male,
103-1D-1044-M-S,Üzüntü benim için çevre kirliliği,Sadness is pollution for me,Male,
211-6B-435-M-S,Benim için hüzün ormanların yok olması hayvanların ölmesi,"Sadness for me is the disappearance of forests, the death of animals",Male,
103-2N-1713-M-H,Arkadaş sevgisi,Friend love,Male,
106-3G-409-M-H,Yardım etmek,To help,Male,
101-1B-711-M-H,Okulda futbol oynadık çok sevindim ve bütün golleri attım,"We played football at school, I am very happy and I scored all the goals",Male,
206-5D-630-M-H,Mutluluk benim için annemin yanında olmak,Happiness for me is to be with my mother,Male,
